Index,composition,target,pred-0,uncertainty
0,Ba1Sr7V8O24,29.74770736694336,32.16749572753906,6.432742595672607
1,Ba2Bi2Pr4Co8O24,106.70233154296875,104.52288818359375,6.006407737731934
2,Ba2Cd2Pr4Ni8O24,284.898193359375,288.87860107421875,9.426133155822754
3,Ba2Dy6Fe8O24,270.0079040527344,285.29058837890625,23.400686264038086
4,Ba2Gd6Fe8O24,70.97341918945312,68.0997314453125,6.322735786437988
5,Ba2Ho6Fe8O24,291.3846130371094,305.565185546875,27.291179656982422
6,Ba2La6Co8O24,59.63499069213867,60.28805923461914,4.682821273803711
7,Ba2La6Cr8O24,16.66840934753418,16.824073791503906,4.156295299530029
8,Ba2La6Fe8O24,0.0,0.9074172973632812,2.0511703491210938
9,Ba2La6Ga8O24,94.50621032714844,95.62464904785156,7.126010894775391
10,Ba2La6Mn8O24,43.36371994018555,45.691532135009766,4.704627513885498
11,Ba2La6Ni8O24,162.30857849121094,164.8449249267578,6.235078811645508
12,Ba2La6Sc8O24,14.094444274902344,11.575080871582031,3.265760898590088
13,Ba2La6Ti8O24,14.810051918029785,13.167121887207031,3.03721284866333
14,Ba2La6V8O24,53.85203552246094,52.50620651245117,7.189998149871826
15,Ba2Mg6Fe8O24,515.8053588867188,535.6073608398438,60.24528121948242
16,Ba2Nd6Fe8O24,132.8149871826172,134.85391235351562,9.2620210647583
17,Ba2Pr6Co8O24,62.494049072265625,63.6590690612793,4.454108238220215
18,Ba2Pr6Cr8O24,33.65498352050781,33.13761901855469,5.784875869750977
19,Ba2Pr6Fe8O24,58.885318756103516,57.853641510009766,3.4597158432006836
20,Ba2Pr6Ga8O24,155.46507263183594,160.67747497558594,6.3674492835998535
21,Ba2Pr6Mn8O24,51.309017181396484,50.77711486816406,3.615525245666504
22,Ba2Pr6Ni8O24,162.89218139648438,163.84249877929688,5.478751182556152
23,Ba2Pr6Ti8O24,10.174511909484863,10.460273742675781,3.7609622478485107
24,Ba2Pr6V8O24,18.97350311279297,20.888587951660156,4.510397911071777
25,Ba2Sm6Fe8O24,178.23573303222656,179.83160400390625,9.543673515319824
26,Ba2Sn2Pr4Ni8O24,276.34027099609375,279.3786315917969,10.274832725524902
27,Ba2Sr6Co8O24,106.74575805664062,107.0057373046875,4.499431610107422
28,Ba2Sr6Fe4Ni4O24,183.2712860107422,183.0019073486328,6.242459297180176
29,Ba2Sr6Fe6Co2O24,105.72218322753906,107.3152847290039,3.408372163772583
30,Ba2Sr6Fe7Co1O24,113.0606460571289,109.49794006347656,3.6044583320617676
31,Ba2Sr6Fe7Ni1O24,110.28583526611328,111.11881256103516,3.5623769760131836
